x1,x2,x3,target_1,target_2,target_3,dist,0-th amplification,1-th amplification,2-th amplification,3-th amplification
0.4,0.0,0.6,0.5,0.5,0.5,0.30000000000000004,0.17333333333333328,0.19666666666666666,0.14666666666666667,0.18333333333333332
0.4,0.6,0.0,0.5,0.5,0.5,0.30000000000000004,0.18666666666666665,0.17999999999999997,0.18999999999999997,0.20666666666666664
0.6,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.16999999999999996,0.18999999999999992,0.2133333333333333,0.17333333333333328
0.6,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.19666666666666666,0.21333333333333332,0.19999999999999996,0.18999999999999997
0.0,0.4,0.8,0.5,0.5,0.5,0.34156502553198664,0.26,0.19666666666666666,0.23999999999999996,0.24999999999999997
0.0,0.8,0.4,0.5,0.5,0.5,0.34156502553198664,0.26999999999999996,0.23666666666666664,0.21666666666666665,0.25999999999999995
0.4,0.0,0.8,0.5,0.5,0.5,0.34156502553198664,0.24333333333333332,0.27,0.22,0.25666666666666665
0.4,0.8,0.0,0.5,0.5,0.5,0.34156502553198664,0.23999999999999996,0.20999999999999996,0.24333333333333332,0.2633333333333333
0.8,0.0,0.4,0.5,0.5,0.5,0.34156502553198664,0.20999999999999996,0.2333333333333333,0.2366666666666667,0.23666666666666672
0.8,0.4,0.0,0.5,0.5,0.5,0.34156502553198664,0.22999999999999995,0.2533333333333333,0.2133333333333333,0.22333333333333333
0.0,0.4,1.0,0.5,0.5,0.5,0.41231056256176607,0.33333333333333337,0.37000000000000005,0.33000000000000007,0.38000000000000006
0.0,1.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.36333333333333334,0.33333333333333337,0.31333333333333335,0.3466666666666666
0.4,0.0,1.0,0.5,0.5,0.5,0.41231056256176607,0.3233333333333333,0.3466666666666666,0.30333333333333334,0.34333333333333327
0.4,1.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.3600000000000001,0.37000000000000005,0.37000000000000005,0.3533333333333333
1.0,0.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.35333333333333333,0.32666666666666666,0.36,0.3433333333333334
1.0,0.4,0.0,0.5,0.5,0.5,0.41231056256176607,0.30999999999999994,0.3466666666666666,0.3399999999999999,0.33
0.0,0.6,0.6,0.5,0.5,0.5,0.30000000000000004,0.19333333333333327,0.1733333333333333,0.16,0.16666666666666663
0.6,0.0,0.6,0.5,0.5,0.5,0.30000000000000004,0.17999999999999997,0.16333333333333333,0.18333333333333332,0.17666666666666664
0.6,0.6,0.0,0.5,0.5,0.5,0.30000000000000004,0.1733333333333333,0.1766666666666666,0.18999999999999997,0.2133333333333333
0.0,0.6,0.8,0.5,0.5,0.5,0.34156502553198664,0.2333333333333333,0.22999999999999995,0.24666666666666665,0.21333333333333332
0.0,0.8,0.6,0.5,0.5,0.5,0.34156502553198664,0.22999999999999995,0.21,0.2433333333333333,0.26999999999999996
0.6,0.0,0.8,0.5,0.5,0.5,0.34156502553198664,0.21,0.2266666666666666,0.2066666666666666,0.2766666666666666
0.6,0.8,0.0,0.5,0.5,0.5,0.34156502553198664,0.2433333333333333,0.24999999999999997,0.24,0.20999999999999994
0.8,0.0,0.6,0.5,0.5,0.5,0.34156502553198664,0.20666666666666664,0.24666666666666665,0.2733333333333333,0.2633333333333333
0.8,0.6,0.0,0.5,0.5,0.5,0.34156502553198664,0.20666666666666664,0.21333333333333332,0.2366666666666667,0.2433333333333333
0.0,0.6,1.0,0.5,0.5,0.5,0.41231056256176607,0.3233333333333333,0.3566666666666667,0.33,0.34666666666666673
0.0,1.0,0.6,0.5,0.5,0.5,0.41231056256176607,0.37000000000000005,0.34,0.3666666666666667,0.33
0.6,0.0,1.0,0.5,0.5,0.5,0.41231056256176607,0.3,0.34,0.37999999999999995,0.33
0.6,1.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.35333333333333333,0.30666666666666664,0.35333333333333333,0.36
1.0,0.0,0.6,0.5,0.5,0.5,0.41231056256176607,0.33333333333333326,0.29666666666666663,0.32666666666666666,0.2933333333333333
1.0,0.6,0.0,0.5,0.5,0.5,0.41231056256176607,0.32666666666666666,0.3733333333333333,0.3866666666666667,0.36
0.0,0.8,0.8,0.5,0.5,0.5,0.3785938897200183,0.30333333333333334,0.3033333333333333,0.3,0.31666666666666665
0.8,0.0,0.8,0.5,0.5,0.5,0.3785938897200183,0.3066666666666666,0.33333333333333337,0.2766666666666666,0.36333333333333345
0.8,0.8,0.0,0.5,0.5,0.5,0.3785938897200183,0.2866666666666666,0.2766666666666666,0.3433333333333334,0.3
0.0,0.8,1.0,0.5,0.5,0.5,0.4434711565216691,0.4033333333333334,0.38666666666666666,0.39333333333333337,0.3966666666666667
