x1,x2,x3,target_1,target_2,target_3,dist,0-th amplification,1-th amplification,2-th amplification,3-th amplification
0.0,0.6,0.2,0,0,0,0.36514837167011077,0.24666666666666665,0.24,0.22333333333333333,0.24
0.2,0.0,0.6,0,0,0,0.36514837167011077,0.22999999999999995,0.26,0.22666666666666666,0.2533333333333333
0.2,0.6,0.0,0,0,0,0.36514837167011077,0.26666666666666666,0.23999999999999994,0.22333333333333327,0.2633333333333333
0.6,0.0,0.2,0,0,0,0.36514837167011077,0.22999999999999995,0.2566666666666666,0.23333333333333328,0.23999999999999996
0.6,0.2,0.0,0,0,0,0.36514837167011077,0.2733333333333333,0.2266666666666666,0.26666666666666666,0.2533333333333333
0.0,0.2,0.8,0,0,0,0.47609522856952347,0.34666666666666673,0.34333333333333343,0.32333333333333336,0.33333333333333337
0.0,0.8,0.2,0,0,0,0.47609522856952347,0.29666666666666663,0.3400000000000001,0.33,0.34666666666666673
0.2,0.0,0.8,0,0,0,0.47609522856952347,0.34000000000000014,0.34666666666666673,0.31999999999999995,0.3233333333333333
0.2,0.8,0.0,0,0,0,0.47609522856952347,0.3400000000000001,0.34000000000000014,0.34666666666666673,0.34
0.8,0.0,0.2,0,0,0,0.47609522856952347,0.32666666666666666,0.3366666666666667,0.31999999999999995,0.34000000000000014
0.8,0.2,0.0,0,0,0,0.47609522856952347,0.35000000000000014,0.3166666666666666,0.33,0.34333333333333343
0.0,0.2,1.0,0,0,0,0.5887840577551898,0.3733333333333334,0.37,0.3400000000000001,0.37000000000000016
0.0,1.0,0.2,0,0,0,0.5887840577551898,0.38000000000000006,0.36,0.3666666666666668,0.37000000000000005
0.2,0.0,1.0,0,0,0,0.5887840577551898,0.36333333333333345,0.36333333333333334,0.3566666666666667,0.3866666666666667
0.2,1.0,0.0,0,0,0,0.5887840577551898,0.37000000000000005,0.37333333333333335,0.36333333333333345,0.3766666666666667
1.0,0.0,0.2,0,0,0,0.5887840577551898,0.3500000000000001,0.36,0.38000000000000006,0.37000000000000005
1.0,0.2,0.0,0,0,0,0.5887840577551898,0.36333333333333345,0.3600000000000001,0.37000000000000005,0.38666666666666666
0.0,0.4,0.4,0,0,0,0.3265986323710905,0.22666666666666666,0.26666666666666666,0.26666666666666666,0.2533333333333333
0.4,0.0,0.4,0,0,0,0.3265986323710905,0.2366666666666667,0.24999999999999997,0.2433333333333333,0.24999999999999997
0.4,0.4,0.0,0,0,0,0.3265986323710905,0.2,0.19666666666666666,0.18666666666666665,0.21999999999999997
0.0,0.4,0.6,0,0,0,0.4163331998932266,0.3066666666666667,0.3033333333333333,0.3466666666666668,0.33333333333333337
0.0,0.6,0.4,0,0,0,0.4163331998932266,0.3366666666666667,0.29666666666666663,0.3400000000000001,0.3566666666666667
0.4,0.0,0.6,0,0,0,0.4163331998932266,0.3066666666666667,0.2866666666666667,0.31666666666666665,0.32333333333333336
0.4,0.6,0.0,0,0,0,0.4163331998932266,0.35,0.3533333333333333,0.27,0.30999999999999994
0.6,0.0,0.4,0,0,0,0.4163331998932266,0.3266666666666667,0.35666666666666663,0.30999999999999994,0.3499999999999999
0.6,0.4,0.0,0,0,0,0.4163331998932266,0.36,0.31666666666666665,0.35666666666666663,0.33333333333333337
0.0,0.4,0.8,0,0,0,0.5163977794943223,0.4333333333333333,0.42333333333333323,0.4233333333333333,0.41
0.0,0.8,0.4,0,0,0,0.5163977794943223,0.44,0.42,0.4233333333333333,0.41
0.4,0.0,0.8,0,0,0,0.5163977794943223,0.42333333333333345,0.40333333333333327,0.4033333333333334,0.43
0.4,0.8,0.0,0,0,0,0.5163977794943223,0.41,0.4266666666666667,0.4,0.44
0.8,0.0,0.4,0,0,0,0.5163977794943223,0.4233333333333333,0.41333333333333344,0.42333333333333334,0.41
0.8,0.4,0.0,0,0,0,0.5163977794943223,0.4066666666666666,0.41666666666666674,0.42,0.4433333333333333
