x1,x2,x3,target_1,target_2,target_3,dist,000,001,010,100,011,110,101,111
0.4,0.6,0.2,0.5,0.5,0.5,0.19148542155126763,0.7556,0.01897,0.01888,0.19621,0.00038,0.00476,0.00503,0.00017
0.6,0.2,0.4,0.5,0.5,0.5,0.19148542155126763,0.7539,0.01945,0.19702,0.01915,0.00535,0.00469,0.00033,0.00011
0.6,0.4,0.2,0.5,0.5,0.5,0.19148542155126763,0.756,0.01969,0.01888,0.19573,0.00052,0.00465,0.00445,8e-05
0.2,0.4,0.8,0.5,0.5,0.5,0.2516611478423583,0.61606,0.15867,0.01533,0.15863,0.00414,0.00388,0.04237,0.00092
0.2,0.8,0.4,0.5,0.5,0.5,0.2516611478423583,0.61316,0.15942,0.16032,0.01614,0.04207,0.00399,0.00399,0.00091
0.4,0.2,0.8,0.5,0.5,0.5,0.2516611478423583,0.61803,0.01512,0.15905,0.15892,0.00375,0.04026,0.00386,0.00101
0.4,0.8,0.2,0.5,0.5,0.5,0.2516611478423583,0.61402,0.01581,0.16,0.1601,0.00374,0.04115,0.00404,0.00114
0.8,0.2,0.4,0.5,0.5,0.5,0.2516611478423583,0.61525,0.15674,0.16115,0.01519,0.04244,0.00408,0.00424,0.00091
0.8,0.4,0.2,0.5,0.5,0.5,0.2516611478423583,0.61846,0.15761,0.01548,0.15701,0.00393,0.0042,0.04225,0.00106
0.2,0.4,1.0,0.5,0.5,0.5,0.34156502553198664,0.38632,0.10007,0.01036,0.38726,0.00266,0.01001,0.10103,0.00229
0.2,1.0,0.4,0.5,0.5,0.5,0.34156502553198664,0.38606,0.10275,0.38687,0.00932,0.10077,0.00925,0.00257,0.00241
0.4,0.2,1.0,0.5,0.5,0.5,0.34156502553198664,0.38753,0.00952,0.10187,0.3868,0.00248,0.10005,0.00948,0.00227
0.4,1.0,0.2,0.5,0.5,0.5,0.34156502553198664,0.38603,0.01009,0.3866,0.10078,0.00975,0.10166,0.00253,0.00256
1.0,0.2,0.4,0.5,0.5,0.5,0.34156502553198664,0.38637,0.38686,0.10083,0.0103,0.10072,0.00245,0.01008,0.00239
1.0,0.4,0.2,0.5,0.5,0.5,0.34156502553198664,0.38856,0.38685,0.00995,0.10003,0.00925,0.00262,0.10027,0.00247
0.2,0.6,0.6,0.5,0.5,0.5,0.19148542155126763,0.75354,0.19709,0.01904,0.01967,0.00496,0.00045,0.00505,0.0002
0.6,0.2,0.6,0.5,0.5,0.5,0.19148542155126763,0.75335,0.01976,0.19735,0.01867,0.00515,0.00504,0.00058,0.0001
0.6,0.6,0.2,0.5,0.5,0.5,0.19148542155126763,0.75665,0.01799,0.01852,0.19699,0.00037,0.00474,0.00468,6e-05
0.2,0.6,0.8,0.5,0.5,0.5,0.2516611478423583,0.61607,0.15831,0.0148,0.16052,0.00407,0.00379,0.04157,0.00087
0.2,0.8,0.6,0.5,0.5,0.5,0.2516611478423583,0.61391,0.16059,0.15871,0.01514,0.04227,0.00395,0.00424,0.00119
0.6,0.2,0.8,0.5,0.5,0.5,0.2516611478423583,0.614,0.01581,0.15866,0.16085,0.00414,0.04155,0.00382,0.00117
0.6,0.8,0.2,0.5,0.5,0.5,0.2516611478423583,0.61359,0.016,0.16049,0.15979,0.00376,0.04153,0.00382,0.00102
0.8,0.2,0.6,0.5,0.5,0.5,0.2516611478423583,0.61055,0.16182,0.16185,0.01496,0.0417,0.00428,0.00384,0.001
0.8,0.6,0.2,0.5,0.5,0.5,0.2516611478423583,0.61444,0.15969,0.01468,0.16023,0.00425,0.00423,0.04133,0.00115
0.2,0.6,1.0,0.5,0.5,0.5,0.34156502553198664,0.38586,0.10122,0.00942,0.38746,0.00247,0.00972,0.10115,0.0027
0.2,1.0,0.6,0.5,0.5,0.5,0.34156502553198664,0.38833,0.10102,0.3855,0.01042,0.1008,0.00909,0.00247,0.00237
0.6,0.2,1.0,0.5,0.5,0.5,0.34156502553198664,0.38774,0.0095,0.10045,0.38553,0.00287,0.10145,0.0097,0.00276
